,text,size
0,min,3
1,sea,2
2,front,6
3,restaurants,7
4,etc.,1
5,hotel,97
6,comfortable,14
7,breakfast,35
8,good,50
9,variety,2
10,room,53
11,aircon,1
12,very,73
13,well,12
14,mosquito,1
15,repelant,1
16,location,19
17,away,11
18,crouds,1
19,really,8
20,lovely,15
21,top,3
22,floor,5
23,bath,2
24,staff,36
25,friendly,22
26,helpful,15
27,great,43
28,value,2
29,money,3
30,rating,2
31,down,1
32,rafters,1
33,dr,1
34,only,16
35,full,3
36,sthjd,1
37,surface,1
38,quiet,23
39,lge,2
40,here,11
41,nights,11
42,booking,2
43,tickets,3
44,opera,2
45,rooms,27
46,clean,16
47,shower,10
48,light,2
49,airy,2
50,windows,2
51,wide,2
52,beds,5
53,plenty,3
54,choice,5
55,nearby,5
56,there,15
57,island,4
58,water,12
59,train,1
60,station,2
61,boat,10
62,ride,2
63,minutes,9
64,beautiful,6
65,views,5
66,way,5
67,walk,3
68,dock,1
69,plentiful,1
70,definitely,2
71,nice,36
72,view,16
73,lagoon,5
74,excellent,7
75,stay,10
76,accommodation,1
77,hectic,1
78,days,5
79,opening,1
80,ladies,1
81,reception,6
82,efficient,1
83,exquisite,1
84,less,5
85,girls,1
86,starting,1
87,point,2
88,visits,2
89,airfield,1
90,docks,1
91,fully,1
92,accessible,4
93,pretty,2
94,cramped,2
95,available,5
96,rich,3
97,regularly,1
98,infestation,1
99,bedbugs,1
100,convenient,4
101,lido,2
102,perfect,8
103,few,7
104,relaxation,4
105,skn,1
106,beach,2
107,fine,3
108,area,14
109,small,12
110,cozy,3
111,family,3
112,sdt,1
113,coziness,1
114,warm,4
115,welcome,6
116,bed,13
117,linen,2
118,day,16
119,size,3
120,bathroom,7
121,varied,1
122,pleasant,9
123,ok,6
124,in,2
125,out,2
126,double,1
127,bat,1
128,single,3
129,attentive,2
130,easy,4
131,access,2
132,completely,3
133,again,9
134,sympathetic,1
135,obsuga,1
136,vibe,2
137,azienka,1
138,bays,1
139,price,6
140,quality,5
141,ratio,1
142,tip,1
143,o,1
144,large,11
145,terrace,2
146,nra,1
147,beachy,1
148,tv,3
149,channel,1
150,impractical,2
151,knowledgeable,1
152,calm,1
153,wife,3
154,next,12
155,time,14
156,pleased,1
157,unfortunately,2
158,bad,4
159,luck,1
160,tiny,2
161,yard,1
162,bright,1
163,excursions,1
164,attic,2
165,where,5
166,straight,1
167,most,5
168,height,1
169,c.,1
170,1.5m.,1
171,bracelet,1
172,cardigan,1
173,addition,1
174,spa,2
175,mile,3
176,ship,1
177,platform,1
178,place,18
179,when,10
180,disappointing,1
181,feet,1
182,tall,2
183,centipedes,2
184,4th,1
185,ceiling,1
186,ft,1
187,side,5
188,head,4
189,skylight,1
190,other,3
191,able,1
192,bathtub,2
193,broken,1
194,1st,1
195,centipede,2
196,wall,1
197,flies,1
198,broom,1
199,later,1
200,receptionist,2
201,bugs,2
202,never,3
203,drain,1
204,problem,5
205,night,5
206,hrs,1
207,throw,1
208,pillows,1
209,new,6
210,supposedly,1
211,hotels,6
212,open,1
213,transportation,1
214,morning,4
215,bug,1
216,barely,1
217,woman,1
218,purpose,1
219,just,12
220,often,1
221,vacation,3
222,children,1
223,sometimes,2
224,things,3
225,best,6
226,war,1
227,euros,1
228,more,39
229,absolutely,1
230,problems,1
231,whatsoever,1
232,pleasantly,3
233,surprised,3
234,low,2
235,dcor,1
236,flawless,1
237,many,3
238,buffet,3
239,delicious,1
240,too,4
241,friendlier,1
242,terms,1
243,about,5
244,waterbus,4
245,stop,1
246,then,1
247,around,3
248,mins,1
249,at,1
250,all,4
251,case,1
252,so,16
253,pre-booked,1
254,transport,2
255,worth,3
256,explore,1
257,spare,1
258,couple,2
259,hours,1
260,conclusion,1
261,fantastic,2
262,trade,1
263,off,1
264,not,5
265,week,2
266,fresh,4
267,rhrei,1
268,immediately,2
269,spring,3
270,ground,1
271,street,3
272,interior,1
273,tasteful,1
274,functional,2
275,shortage,1
276,cleanliness,1
277,claim,1
278,handtchers,1
279,daily,1
280,shortcoming,1
281,temperature,3
282,constantly,1
283,quite,4
284,cold,1
285,hot,2
286,sink,1
287,also,10
288,tap,1
289,overflow,1
290,difficult,1
291,hands,1
292,underneath,1
293,desk,7
294,suitcase,2
295,care,4
296,touch,1
297,airport,3
298,now,1
299,bus,7
300,right,7
301,however,3
302,pier,2
303,far,2
304,longer,1
305,madness,1
306,close,8
307,enough,1
308,second,2
309,easily,1
310,m,1
311,berth,1
312,coast,1
313,buses,1
314,construction,1
315,site,2
316,relatively,2
317,tidy,1
318,satisfied,2
319,offer,1
320,selection,3
321,city,3
322,trip,8
323,little,16
324,piece,1
325,busy,2
326,facility,2
327,flowers,1
328,special,1
329,birthday,1
330,exactly,1
331,line,1
332,european,1
333,standard,2
334,surprise,3
335,towels,2
336,various,1
337,options,2
338,peoples,1
339,sausage,1
340,bacon,1
341,eggs,1
342,late,3
343,probably,1
344,quieter,1
345,safe,1
346,back,8
347,taxis,1
348,vulnerable,1
349,coffee,2
350,bars,2
351,main,8
352,commercial,1
353,stations,1
354,slightly,1
355,cheaper,2
356,taxi,3
357,luxury,2
358,speed,1
359,experience,5
360,costly,1
361,lot,4
362,quicker,1
363,hassle,1
364,must,1
365,atmosphere,2
366,expensive,1
367,bills,1
368,much,6
369,smile,1
370,cosy,1
371,btterminal,1
372,thing,3
373,television,2
374,programs,1
375,important,2
376,balcony,1
377,wonderful,8
378,ferry.food,1
379,parents,1
380,twin,3
381,toddlers,2
382,triple,1
383,furnished,1
384,feature,1
385,extremely,4
386,particularly,1
387,always,2
388,ready,1
389,help,1
390,big,4
391,smiles,1
392,breakfasts,1
393,spread,1
394,guests,2
395,leisure,1
396,surely,1
397,happily,1
398,vaporetto,2
399,advice,1
400,environment,1
401,better,1
402,crowded,1
403,stops,1
404,attractions,1
405,service,7
406,thanks,1
407,home,4
408,closer,2
409,rush,1
410,before,1
411,cruise,1
412,saggy,1
413,door,2
414,frantic,1
415,hustle,2
416,bustle,2
417,center,6
418,economy,1
419,roof,3
420,ergonomic,1
